TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
70530,SANTA ROSA DE VITERBO,3547601,Santa Rosa de Viterbo
70556,SANTO ANASTÁCIO,3547700,Santo Anastácio
70572,SANTO ANDRÉ,3547809,Santo André
70599,SANTO ANTÔNIO DA ALEGRIA,3547908,Santo Antônio da Alegria
70610,SANTO ANTÔNIO DE POSSE,3548005,Santo Antônio de Posse
70637,SANTO ANTÔNIO DO JARDIM,3548104,Santo Antônio do Jardim
70653,SANTO ANTÔNIO DO PINHAL,3548203,Santo Antônio do Pinhal
70670,SANTO EXPEDITO,3548302,Santo Expedito
70696,SANTÓPOLIS DO AGUAPEÍ,3548401,Santópolis do Aguapeí
70718,SANTOS,3548500,Santos
70734,SÃO BENTO DO SAPUCAÍ,3548609,São Bento do Sapucaí
70750,SÃO BERNARDO DO CAMPO,3548708,São Bernardo do Campo
70777,SÃO CAETANO DO SUL,3548807,São Caetano do Sul
70793,SÃO CARLOS,3548906,São Carlos
70815,SÃO FRANCISCO,3549003,São Francisco
70831,SÃO JOÃO DA BOA VISTA,3549102,São João da Boa Vista
70858,SÃO JOÃO DAS DUAS PONTES,3549201,São João das Duas Pontes
